State Abbreviations,Location,Total-cases,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,PercentHighSchoolOrHigher,PercentBachelorsOrHigher,HouseholdIncome
AK,Alaska,"226,276",146741,1037866,966131,210850,93,30,77640
AL,Alabama,"1,263,796",122866,5928631,5637439,1820261,86,26,50536
AR,Arkansas,"807,711",134155,3948968,3701338,1146728,87,23,47597
AZ,Arizona,"1,953,168",156489,11059716,10310716,3223220,87,30,58945
CA,California,"8,800,789",178515,68129797,63101870,14596943,83,34,75235
CO,Colorado,"1,288,600",177005,9854703,9210919,2206324,92,41,72331
CT,Connecticut,"714,408",202515,6983490,6494620,1762136,91,39,78444
DE,Delaware,"253,748",175566,1665221,1562470,506199,90,32,68287
FL,Florida,"5,785,719",166434,35074177,33250656,11582034,88,30,55660
GA,Georgia,"2,434,131",133345,13841160,12996787,3394843,87,31,58700
HI,Hawaii,"232,008",195084,2665516,2483266,689381,92,33,81275
IA,Iowa,"815,206",154864,4749846,4475636,1445905,92,29,60523
ID,Idaho,"403,137",131064,2285254,2151354,682133,91,28,55785
IL,Illinois,"3,001,771",169999,20728074,19293267,5004201,89,35,65886
IN,Indiana,"1,664,353",135528,8906661,8391574,2595955,89,27,56303
KS,Kansas,"758,237",150315,4245408,3960058,1190128,91,33,59597
KY,Kentucky,"1,232,297",140140,6111892,5776820,1741212,86,24,50589
LA,Louisiana,"1,213,437",129168,5908041,5595325,1706465,85,24,49469
MA,Massachusetts,"1,648,656",204597,13578070,12680313,3153176,91,44,81215
MD,Maryland,"970,732",187886,10939334,10133657,2501946,90,40,84805
ME,Maine,"187,697",199415,2598912,2453844,795032,93,32,57918
MI,Michigan,"2,324,854",149843,14557211,13749924,4270648,91,29,57144
MN,Minnesota,"1,392,731",173984,9425815,8796367,2483403,93,36,71306
MO,Missouri,"1,373,435",139533,8349162,7880497,2453248,90,29,55461
MS,Mississippi,"781,436",124941,3654599,3451263,1091446,85,22,45081
MT,Montana,"257,852",142243,1482316,1405158,487991,94,32,54970
NC,North Carolina,"2,540,372",152006,15485936,14549217,4228590,88,31,54602
ND,North Dakota,"234,998",138780,1025513,973597,290548,93,30,64984
NE,Nebraska,"451,074",157460,2948746,2753664,813491,91,32,61439
NH,New Hampshire,"288,191",191188,2534685,2374889,693702,93,37,76768
NJ,New Jersey,"2,146,285",184081,15822119,14719968,3662751,90,40,82545
NM,New Mexico,"500,516",177096,3594264,3342237,956947,86,27,49754
NV,Nevada,"673,322",151146,4552469,4273042,1141645,87,25,60365
NY,New York,"5,032,117",191929,36217941,34001158,8275825,87,37,68486
OH,Ohio,"2,633,648",146153,16630960,15728378,4961741,90,28,56602
OK,Oklahoma,"1,009,129",143143,5542990,5218312,1533589,88,26,52919
OR,Oregon,"674,500",174904,7148515,6707929,1904278,91,34,62818
PA,Pennsylvania,"2,726,797",170905,21242833,20020985,6162249,91,31,61744
RI,Rhode Island,"352,794",199096,2045097,1918303,525027,89,34,67167
SC,South Carolina,"1,442,546",139174,7017551,6650597,2220630,88,28,53199
SD,South Dakota,"233,008",151687,1299847,1219531,385618,92,29,58275
TN,Tennessee,"1,965,983",138178,9260230,8812707,2756529,88,27,53320
TX,Texas,"6,531,590",150912,42316427,38937511,8892431,84,30,61874
UT,Utah,"914,028",155431,4775559,4351701,955165,92,34,71621
VA,Virginia,"1,610,726",183051,15038165,13979543,3528176,90,39,74222
VT,Vermont,"108,969",214247,1284137,1200932,373401,93,38,61973
WA,Washington,"1,410,596",178801,13171885,12311398,3144473,91,36,73775
WI,Wisconsin,"1,553,551",168110,9500642,8945235,2806187,92,30,61747
WV,West Virginia,"476,957",145895,2571026,2449765,851039,87,21,46711
WY,Wyoming,"152,581",124962,708191,672042,221152,93,27,64049
